,utm_source,utm_medium,utm_campaign,utm_content,date,goal_add_to_cart,goal_move_to_cart,goal_order_in_cart,goal_pay_success,goal_order_confirmed,new_user,order_amount,order_sum
259,blogger,post,bloggercampaignname_1500,0.0,2020-12-24,2,0,0,0,0,1,0,0
260,blogger,post,bloggercampaignname_1500,0.0,2020-12-25,2,0,0,0,0,0,0,0
261,blogger,post,bloggercampaignname_1500,0.0,2020-12-26,1,0,0,0,0,2,0,0
262,blogger,post,bloggercampaignname_1500,0.0,2020-12-28,2,0,0,0,0,0,0,0
263,blogger,post,bloggercampaignname_1500,0.0,2020-12-29,2,0,0,0,0,0,0,0
264,blogger,post,bloggercampaignname_1500,0.0,2020-12-30,2,0,0,0,0,0,0,0
265,blogger,post,bloggercampaignname_968,0.0,2020-10-27,3,2,5,4,0,89,10,11981
266,blogger,post,bloggercampaignname_968,0.0,2020-10-28,3,0,1,0,0,34,0,0
267,blogger,post,bloggercampaignname_968,0.0,2020-10-29,1,0,1,0,0,18,0,0
268,blogger,post,bloggercampaignname_968,0.0,2020-10-30,2,1,1,2,2,11,7,8667
269,blogger,post,bloggercampaignname_968,0.0,2020-10-31,2,1,1,0,1,8,0,0
270,blogger,post,bloggercampaignname_968,0.0,2020-11-01,1,0,0,0,0,5,0,0
271,blogger,post,bloggercampaignname_968,0.0,2020-11-02,0,0,0,0,0,4,0,0
272,blogger,post,bloggercampaignname_968,0.0,2020-11-03,0,0,0,0,0,3,0,0
273,blogger,post,bloggercampaignname_968,0.0,2020-11-04,0,0,0,0,0,2,0,0
274,blogger,post,bloggercampaignname_968,0.0,2020-11-05,1,0,0,0,0,2,0,0
275,blogger,post,bloggercampaignname_968,0.0,2020-11-06,0,0,0,0,0,1,0,0
276,blogger,post,bloggercampaignname_968,0.0,2020-11-07,2,2,2,0,0,3,0,0
277,blogger,post,bloggercampaignname_968,0.0,2020-11-08,1,1,1,1,1,2,3,3522
278,blogger,post,bloggercampaignname_968,0.0,2020-11-09,0,0,0,0,0,1,0,0
279,blogger,post,bloggercampaignname_968,0.0,2020-11-10,0,0,0,0,0,1,0,0
280,blogger,post,bloggercampaignname_968,0.0,2020-11-11,0,0,1,0,0,0,0,0
281,blogger,post,bloggercampaignname_968,0.0,2020-11-12,0,0,0,0,0,1,0,0
282,blogger,post,bloggercampaignname_968,0.0,2020-11-13,0,0,0,0,0,1,0,0
283,blogger,post,bloggercampaignname_968,0.0,2020-11-14,0,0,0,0,0,0,0,0
284,blogger,post,bloggercampaignname_968,0.0,2020-11-16,0,0,0,0,1,0,0,0
285,blogger,post,bloggercampaignname_968,0.0,2020-11-17,0,0,0,0,0,1,0,0
286,blogger,post,bloggercampaignname_968,0.0,2020-11-19,2,0,0,0,0,2,0,0
287,blogger,post,bloggercampaignname_968,0.0,2020-11-25,2,0,0,0,0,2,0,0
